,MapRefNo,Neighborhood,GrLivArea,MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalSF,Price/SF,BsmtPercentUnfinished,LowQualFinishedPercent,TotalAuxSF,relativeAuxSF,Price/AuxSF,LogSalePrice
2467,535351050,NAmes,1363,1-STORY 1946 & NEWER ALL STYLES,RL,14559,Pave,0,Lvl,AllPub,Inside,1,Norm,Norm,1Fam,1Story,5,7,1951,2000,Hip,CompShg,Wd Sdng,Wd Sdng,BrkCmn,70.0,4,3,CBlock,3,3,1,4,650.0,3,180.0,178.0,1008.0,GasA,Ex,1,SBrkr,1363,0,0,1.0,0.0,1,0,2,1,3,6,7,2,CarPort,1951.0,1,1.0,288.0,3,3,Y,324,42,0,0,168,0,2000,6,2009,WD ,Normal,164900,2371.0,69.54871362294391,0.1765873015873016,0.0,15057.0,4324.532385466035,10.951716809457395,12.01309450854769
220,527325110,NWAmes,1969,2-STORY 1946 & NEWER,RL,11952,Pave,0,Lvl,AllPub,Inside,1,PosA,Norm,1Fam,2Story,7,6,1977,1977,Mansard,WdShake,WdShing,Plywood,None,0.0,3,3,CBlock,4,3,1,1,0.0,1,0.0,808.0,808.0,GasA,TA,1,SBrkr,1161,808,0,0.0,0.0,2,1,3,1,3,8,8,1,Attchd,1977.0,2,2.0,534.0,3,3,Y,0,0,0,0,276,0,0,11,2007,WD ,Normal,190000,2777.0,68.41915736406193,1.0,0.0,12762.0,2029.5323854660346,14.887948597398527,12.154779351142624
1101,908208020,Edwards,1121,1-STORY 1946 & NEWER ALL STYLES,RM,8546,Pave,0,Lvl,AllPub,Corner,1,Norm,Norm,1Fam,1Story,4,5,2003,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,1,1,0.0,1,0.0,1121.0,1121.0,GasA,Ex,1,SBrkr,1121,0,0,0.0,0.0,2,0,2,1,3,5,8,0,Attchd,2003.0,2,2.0,440.0,3,3,Y,132,64,0,0,0,0,0,3,2010,WD ,Normal,140000,2242.0,62.44424620874219,1.0,0.0,9050.0,-1682.4676145339654,15.469613259668508,11.84939770159144
58,528365060,NoRidge,2418,2-STORY 1946 & NEWER,RL,10542,Pave,0,Lvl,AllPub,Inside,1,Norm,Norm,1Fam,2Story,7,5,1993,1994,Hip,CompShg,Wd Sdng,ImStucc,BrkFace,651.0,4,3,PConc,4,3,4,6,1173.0,1,0.0,138.0,1311.0,GasA,Ex,1,SBrkr,1325,1093,0,1.0,0.0,2,1,3,1,4,9,8,1,Attchd,1993.0,2,3.0,983.0,3,3,Y,250,154,216,0,0,0,0,8,2008,WD ,Normal,341000,3729.0,91.44542772861357,0.10526315789473684,0.0,11895.0,1162.5323854660346,28.667507356031948,12.739637756265655
1330,905427070,Edwards,2108,2-STORY 1945 & OLDER,RL,13728,Pave,0,Lvl,AllPub,Corner,1,Norm,Norm,1Fam,2Story,6,7,1935,1986,Hip,CompShg,Stucco,Stucco,None,0.0,3,3,CBlock,3,3,1,3,626.0,1,0.0,501.0,1127.0,GasA,Ex,1,SBrkr,1236,872,0,0.0,0.0,2,0,4,1,4,7,8,2,Basment,1935.0,1,2.0,540.0,3,3,Y,0,0,0,0,90,0,0,7,2008,WD ,Normal,235000,3235.0,72.64296754250387,0.4445430346051464,0.0,14358.0,3625.5323854660346,16.36718205878256,12.367340793126296
411,909452050,Crawfor,1982,SPLIT OR MULTI-LEVEL,RL,13607,Pave,1,Lvl,AllPub,Inside,1,Norm,Norm,1Fam,SLvl,6,6,1986,1986,Gable,CompShg,VinylSd,VinylSd,BrkFace,242.0,3,4,CBlock,3,3,1,5,454.0,1,0.0,118.0,572.0,GasA,Gd,1,SBrkr,1182,800,0,1.0,0.0,2,1,3,1,3,6,8,1,BuiltIn,1986.0,3,2.0,501.0,3,3,Y,400,112,0,0,0,0,1500,4,2009,WD ,Normal,208000,2554.0,81.44087705559906,0.2062937062937063,0.0,14220.0,3487.5323854660346,14.627285513361462,12.245293358683455
2199,533215070,Somerst,1557,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,FV,4109,Pave,1,Lvl,AllPub,Inside,1,Norm,Norm,TwnhsE,1Story,9,5,1999,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,260.0,4,3,PConc,4,3,3,6,1141.0,1,0.0,416.0,1557.0,GasA,Ex,1,SBrkr,1557,0,0,1.0,0.0,2,0,2,1,5,5,8,1,Attchd,1999.0,2,2.0,484.0,3,3,Y,124,113,0,0,0,0,0,6,2008,WD ,Normal,305000,3114.0,97.94476557482338,0.26718047527296085,0.0,4706.0,-6026.467614533965,64.8108797280068,12.628067055589549
2178,907414030,CollgCr,1414,1-STORY 1946 & NEWER ALL STYLES,RL,8773,Pave,0,Lvl,AllPub,FR2,1,Norm,Norm,1Fam,1Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,98.0,4,3,PConc,4,3,3,6,24.0,1,0.0,1390.0,1414.0,GasA,Ex,1,SBrkr,1414,0,0,0.0,0.0,2,0,3,1,4,6,8,0,Attchd,2004.0,2,2.0,494.0,3,3,Y,132,105,0,0,0,0,0,5,2010,WD ,Normal,185500,2828.0,65.5940594059406,0.983026874115983,0.0,9372.0,-1360.4676145339654,19.793000426803243,12.130810161029627
1539,910203290,IDOTRR,1012,1-STORY 1945 & OLDER,RM,8263,Pave,0,Bnk,AllPub,Inside,2,Norm,Norm,1Fam,1Story,6,5,1920,1950,Gable,CompShg,BrkFace,BrkFace,None,0.0,3,3,BrkTil,3,3,1,1,0.0,1,0.0,1012.0,1012.0,GasA,TA,1,FuseA,1012,0,0,0.0,0.0,1,0,2,1,3,6,8,1,Detchd,1920.0,1,1.0,308.0,3,3,Y,0,22,112,0,0,0,0,5,2007,WD ,Normal,118400,2024.0,58.49802371541502,1.0,0.0,8705.0,-2027.4676145339654,13.60137851809305,11.681824001432043
149,909251040,Crawfor,1298,1-1/2 STORY FINISHED ALL AGES,RL,6821,Pave,0,HLS,AllPub,Inside,1,Norm,Norm,1Fam,1.5Fin,6,7,1921,2005,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,3,1,4,113.0,1,0.0,538.0,651.0,GasA,Gd,1,SBrkr,759,539,0,0.0,0.0,2,0,2,1,3,8,8,1,Detchd,1994.0,1,1.0,240.0,3,3,P,216,0,168,0,0,0,0,8,2007,WD ,Normal,146500,1949.0,75.16675218060544,0.82642089093702,0.0,7229.0,-3503.4676145339654,20.265596901369484,11.894780707439258
