ID Household Income Bucket,Household Income Bucket,ID Year,Year,Household Income,Household Income Moe,Geography,ID Geography,Slug Geography,share
0,"< $10,000",2019,"2019",7302871,18046,"United States","01000US","united-states",0.06047623386946217
1,"$10,000-$14,999",2019,"2019",5189583,15224,"United States","01000US","united-states",0.04297576051842968
2,"$15,000-$19,999",2019,"2019",5300624,15337,"United States","01000US","united-states",0.04389530866396025
3,"$20,000-$24,999",2019,"2019",5459520,16244,"United States","01000US","united-states",0.04521115166008083
4,"$25,000-$29,999",2019,"2019",5285952,16670,"United States","01000US","united-states",0.043773807503206794
5,"$30,000-$34,999",2019,"2019",5506182,18565,"United States","01000US","united-states",0.04559756708831677
6,"$35,000-$39,999",2019,"2019",5093804,14176,"United States","01000US","united-states",0.04218259941729792
7,"$40,000-$44,999",2019,"2019",5081209,16048.000000000002,"United States","01000US","united-states",0.042078298223207834
8,"$45,000-$49,999",2019,"2019",4647032,14255,"United States","01000US","united-states",0.038482809573231476
9,"$50,000-$59,999",2019,"2019",9090005,22946,"United States","01000US","united-states",0.07527577417902911
10,"$60,000-$74,999",2019,"2019",11699885,30719,"United States","01000US","united-states",0.09688860470160468
11,"$75,000-$99,999",2019,"2019",15374617,51444,"United States","01000US","united-states",0.12731964365047788
12,"$100,000-$124,999",2019,"2019",11019036,49867,"United States","01000US","united-states",0.09125038606761957
13,"$125,000-$149,999",2019,"2019",7267775,40108,"United States","01000US","united-states",0.06018559832299249
14,"$150,000-$199,999",2019,"2019",8173563,49077,"United States","01000US","united-states",0.06768657251850442
15,"$200,000+",2019,"2019",9264390,54033.00000000001,"United States","01000US","united-states",0.07671988404257814
0,"< $10,000",2019,"2019",3322,455,"Ames, IA","16000US1901855","ames-ia",0.1300806641083875
1,"$10,000-$14,999",2019,"2019",1254,306,"Ames, IA","16000US1901855","ames-ia",0.049103297047537006
2,"$15,000-$19,999",2019,"2019",1610,304,"Ames, IA","16000US1901855","ames-ia",0.06304330801159057
3,"$20,000-$24,999",2019,"2019",1231,228.00000000000003,"Ames, IA","16000US1901855","ames-ia",0.04820267836165714
4,"$25,000-$29,999",2019,"2019",1465,323,"Ames, IA","16000US1901855","ames-ia",0.05736549455713055
5,"$30,000-$34,999",2019,"2019",1089,265,"Ames, IA","16000US1901855","ames-ia",0.04264233690970319
6,"$35,000-$39,999",2019,"2019",941,240.00000000000003,"Ames, IA","16000US1901855","ames-ia",0.0368470514527371
